col,score,missing_rate
age_month,0.06616582360930329,0.0
lab_5237_min,0.048302977783138745,0.3462060642630864
lab_5227_min,0.015453294771162637,0.3501282244682456
lab_5257_min,0.014608717940302695,0.3466586212098356
lab_5136_min,0.012000267540902072,0.14557248453763766
lab_5225_range,0.011400449263745858,0.34635691657866946
lab_5136_max,0.011371026191567615,0.14557248453763766
lab_6473_min,0.010696852698852451,0.2801327500377131
chart_1016_min,0.009822943715562832,0.39327198672499625
lab_6316_min,0.009778449067803213,0.17725147081007694
lab_5239_max,0.009413451673263547,0.3459797857897119
lab_5141_max,0.009398582245858465,0.1444410921707648
lab_5215_max,0.00935701317806535,0.3460552119475034
lab_5127_max,0.008212664148399416,0.16375018856539447
chart_1004_max,0.00801711867011197,0.32101372756071805
chart_1016_max,0.007980452252330846,0.39327198672499625
lab_6473_max,0.007953802699320073,0.2801327500377131
lab_5094_min,0.007519273963700686,0.17770402775682606
chart_1004_range,0.007359912828799664,0.32101372756071805
lab_5235_max,0.007347651527762213,0.3459797857897119
lab_5227_max,0.007200102617757403,0.3501282244682456
lab_5223_min,0.007150651162238643,0.3665711268667974
chart_1001_min,0.0070058764130331045,0.320712022929552
lab_5175_min,0.0068335823006872385,0.37599939659073767
lab_5235_min,0.006742383880977082,0.3459797857897119
lab_5235_range,0.006264401708862381,0.3459797857897119
lab_5110_min,0.006211486626071604,0.17732689696786846
lab_5225_min,0.0061945228659162225,0.34628149042087797
lab_5211_min,0.006029573583505358,0.346432342736461
lab_5228_max,0.005996188954293767,0.3462060642630864
chart_1001_max,0.005989270776296223,0.320712022929552
lab_5129_max,0.005959041895363335,0.1444410921707648
lab_5141_min,0.005949954941378892,0.1444410921707648
lab_5218_max,0.005908766211750666,0.34590435963192034
lab_5120_max,0.005864355740515586,0.18207874490873435
lab_6317_min,0.005816444335207545,0.16925629808417558
lab_5027_max,0.005686841004555727,0.29069241212852615
lab_5252_min,0.005627159193536634,0.3462060642630864
gender_is_male,0.0055957756420843404,0.0
lab_5226_max,0.005582403796307561,0.34590435963192034
lab_5215_min,0.005570884725097294,0.3460552119475034
lab_5161_max,0.005498068467042964,0.38271232463418314
lab_5218_range,0.005457303525371482,0.34590435963192034
lab_5002_min,0.00525651543136376,0.14979634937396288
lab_5110_max,0.005178825036666381,0.17732689696786846
lab_5057_min,0.00499309378152173,0.2840549102428722
lab_5230_min,0.004986196123993315,0.34590435963192034
lab_5237_max,0.0049727467684269975,0.3462060642630864
lab_5038_max,0.004967603172262897,0.28578971187207725
lab_5095_max,0.004926147188226585,0.14723186000905114
lab_6317_max,0.004910807294003156,0.16925629808417558
lab_5257_max,0.004887676418197152,0.3466586212098356
lab_5224_max,0.004886928484026528,0.3460552119475034
lab_5027_min,0.004729364939914242,0.29069241212852615
chart_1006_range,0.004676157904331512,0.4416201538693619
lab_5230_max,0.004664729353515723,0.34590435963192034
lab_5249_min,0.004655664390450955,0.3466586212098356
chart_1002_min,0.004652698061900983,0.47895610197616534
chart_1003_max,0.004641407263003163,0.5941318449238195
lab_5227_range,0.004626602711124044,0.35201387841303367
lab_6316_max,0.004611787257662403,0.17725147081007694
lab_5041_min,0.004607675048910404,0.2605973751697089
chart_1004_min,0.004513130071868898,0.32101372756071805
lab_5175_max,0.004443162158569646,0.37599939659073767
lab_5248_max,0.004441127649160595,0.34628149042087797
lab_5219_min,0.004420696307078423,0.34613063810529493
lab_5236_max,0.00436490943133181,0.844697541107256
lab_5239_min,0.004352620872658808,0.3459797857897119
lab_5037_min,0.0042844756385000335,0.2857142857142857
chart_1002_max,0.0042792657070923855,0.47895610197616534
lab_5114_max,0.004272281182254496,0.1446673706441394
lab_5026_max,0.004261844909142822,0.25101825313018555
lab_5128_min,0.004260846250860142,0.16510785940564188
lab_5127_min,0.004246515491864029,0.16375018856539447
lab_5161_min,0.004219290798840788,0.38271232463418314
lab_5077_min,0.004196285847150669,0.2856388595564942
lab_5083_max,0.004195297931114814,0.28420576255845525
lab_5226_min,0.0041948536502196265,0.34590435963192034
lab_5178_min,0.004142337241694209,0.37599939659073767
lab_5223_max,0.004139224205916342,0.3665711268667974
lab_5059_max,0.0040967505133018755,0.372001810227787
lab_6261_max,0.00408962158584987,0.2845074671896214
lab_5074_max,0.004087441786594262,0.29687735706743096
lab_5002_max,0.004072286436153607,0.14979634937396288
lab_5249_max,0.0040590009278279994,0.3466586212098356
lab_5252_range,0.004050590634802023,0.3462060642630864
lab_6236_max,0.004049236908277085,0.28511087645195354
lab_5120_min,0.004010683132734752,0.18207874490873435
lab_5021_min,0.003998443589117548,0.2843566148740383
lab_5238_max,0.00399265186833036,0.8443204103182984
lab_6318_max,0.003961719594356636,0.17717604465228542
lab_5219_max,0.0039614691748226325,0.34613063810529493
lab_5225_max,0.0039497775474663524,0.34628149042087797
lab_5037_max,0.003943520656179526,0.2857142857142857
lab_5022_max,0.003917657020649566,0.2931060491778549
lab_5072_min,0.003910214282784036,0.2849600241363705
lab_5074_min,0.0038966367664097453,0.29687735706743096
lab_5077_max,0.003872717685196806,0.2856388595564942
lab_5111_min,0.0038660152062104172,0.14843867853371548
lab_5128_max,0.0038327997479687117,0.16510785940564188
lab_5252_max,0.003823089794879746,0.3462060642630864
chart_1001_range,0.0038076906526084836,0.320712022929552
lab_5218_min,0.003804730507945802,0.34590435963192034
lab_5113_max,0.003758074544645446,0.1446673706441394
lab_5026_min,0.00374000226560832,0.25101825313018555
lab_5248_min,0.0037386476265148217,0.34628149042087797
lab_5224_min,0.003691600297167108,0.3460552119475034
lab_5072_max,0.00367738134047406,0.2849600241363705
chart_1015_min,0.0036736161855613846,0.39327198672499625
lab_5244_min,0.00366918606086937,0.844697541107256
lab_5041_max,0.0036583292148267476,0.2605973751697089
lab_6261_min,0.003576875942131382,0.2845074671896214
lab_5057_max,0.0035675027333686216,0.2840549102428722
lab_5025_min,0.003545723729475231,0.28578971187207725
lab_5230_range,0.003535354505979885,0.34590435963192034
lab_5249_range,0.0035330791971343875,0.3471866043143762
lab_5224_range,0.0035046785924683624,0.346432342736461
lab_5111_max,0.0034922676803083655,0.14843867853371548
lab_5492_min,0.003482624055914787,0.14685472922009352
lab_5047_max,0.0034141268636192087,0.9702066676723488
lab_5059_min,0.003393198864601948,0.372001810227787
lab_5178_max,0.0033895487646995277,0.37599939659073767
lab_5022_min,0.0033679031154704537,0.2931060491778549
lab_5021_max,0.003353990137236569,0.2843566148740383
lab_5039_min,0.0033533894987158876,0.28548800724091117
lab_5046_min,0.003336276701479167,0.2852617287675366
lab_5129_min,0.003318978764005189,0.1444410921707648
chart_1002_range,0.003278867749062516,0.47895610197616534
lab_5034_max,0.00327801767546863,0.2849600241363705
lab_5114_min,0.003269923055397196,0.1446673706441394
lab_5132_min,0.0032544079105362458,0.1443656660129733
lab_5211_range,0.0032234106946904483,0.34703575199879316
lab_6318_min,0.00318554231909481,0.17717604465228542
lab_5055_max,0.003174152119871205,0.2960476693317242
lab_5033_max,0.003166962299683807,0.26097450595866645
lab_5034_min,0.003124355814755301,0.2849600241363705
lab_5492_max,0.0030273929737306875,0.14685472922009352
lab_5115_min,0.003024849825439729,0.1446673706441394
lab_5055_min,0.0030222980429438417,0.2960476693317242
lab_5493_max,0.0029851369184320854,0.17717604465228542
lab_5024_max,0.0029781243860066203,0.28420576255845525
lab_5031_max,0.002973708148294503,0.2846583195052044
lab_5132_max,0.0029726182399581478,0.1443656660129733
lab_6236_min,0.0029518283590522034,0.28511087645195354
lab_5226_range,0.002940122536543021,0.34635691657866946
lab_5024_min,0.002918959650772496,0.28420576255845525
lab_5099_max,0.0028618387445855558,0.1444410921707648
lab_5306_min,0.0028416342122684736,0.2845074671896214
lab_5083_min,0.002830449902310705,0.28420576255845525
lab_6796_max,0.0027566117590302045,0.3600844772967265
lab_5038_min,0.002714039689599717,0.28578971187207725
lab_6857_max,0.002675255429391295,0.40315281339568565
lab_5095_min,0.0026663590035461023,0.14723186000905114
lab_5256_max,0.0026589345871525206,0.9305325086740082
lab_5492_range,0.002634833586191118,0.14685472922009352
lab_5099_min,0.0026259847595173367,0.1444410921707648
lab_5306_max,0.0026093070123702775,0.2845074671896214
lab_5219_range,0.0025922391558190028,0.3462060642630864
lab_5025_max,0.0025906135722378425,0.28578971187207725
chart_1015_range,0.0025761737554174154,0.39327198672499625
lab_5039_max,0.0025585034337509954,0.28548800724091117
lab_5078_max,0.0025569812435483354,0.28375320561170614
chart_1006_min,0.0025565545867577135,0.4416201538693619
lab_5178_range,0.002549656690662255,0.37599939659073767
lab_5097_min,0.0024925352089442375,0.14421481369739025
lab_6796_min,0.0024450370006513615,0.3600844772967265
lab_5113_min,0.0024446301590737808,0.1446673706441394
lab_5239_range,0.0023913698234959866,0.3459797857897119
lab_5075_max,0.002381732323572206,0.2983104540654699
lab_5237_range,0.002344095812275002,0.3462060642630864
lab_5223_range,0.002266997006399805,0.37863931211344093
lab_5031_min,0.0022646994346128997,0.2846583195052044
lab_5174_max,0.0022624289132852724,0.3809775230049781
lab_5045_min,0.002251944052165692,0.28616684266103487
lab_5127_range,0.002245088328891425,0.16375018856539447
lab_5042_max,0.0022253244308947104,0.2894101674460703
lab_5094_max,0.002187191314836352,0.17770402775682606
lab_5228_min,0.0021522944888894306,0.3462060642630864
lab_5075_min,0.0021260710499116106,0.2983104540654699
